old_url,old_path,url_type,http_status,final_url,title_or_label,discovered_from,notes
https://www.traditional-homes.gr/,/,html,301,https://www.traditional-homes.gr/index.php/en/,Traditional homes of Crete root,manual preflight,Old root redirects to the Joomla English homepage.
https://www.traditional-homes.gr/index.php,/index.php,html,not checked,,Legacy Joomla entry point,existing public/_redirects,Existing redirect rule found before this inventory pass.
https://www.traditional-homes.gr/index.php/en,/index.php/en,html,200,,The traditional homes of Crete - Elounda rooms & accommodation,controlled crawl,English homepage without trailing slash.
https://www.traditional-homes.gr/index.php/en/,/index.php/en/,html,200,,The traditional homes of Crete - Elounda rooms & accommodation,controlled crawl,English homepage with trailing slash.
https://www.traditional-homes.gr/index.php/en/about-us-2,/index.php/en/about-us-2,html,200,,Elounda houses,controlled crawl,Old houses collection page.
https://www.traditional-homes.gr/index.php/en/about-us-2/argyro,/index.php/en/about-us-2/argyro,html,200,,Argyro house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/clio,/index.php/en/about-us-2/clio,html,200,,Clio house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/dimitra,/index.php/en/about-us-2/dimitra,html,200,,Dimitra house,controlled crawl,Old house detail page; new inventory uses Demetra with Dimitra alias.
https://www.traditional-homes.gr/index.php/en/about-us-2/efterpi,/index.php/en/about-us-2/efterpi,html,200,,Efterpi house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/erato,/index.php/en/about-us-2/erato,html,200,,Erato house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/kalliopi,/index.php/en/about-us-2/kalliopi,html,200,,Kalliopi house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/leonidas,/index.php/en/about-us-2/leonidas,html,200,,Leonidas house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/margarita,/index.php/en/about-us-2/margarita,html,200,,Margarita house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/about-us-2/monastery,/index.php/en/about-us-2/monastery,html,200,,Monastery house,controlled crawl,Old house detail page; new inventory uses Monastiri.
https://www.traditional-homes.gr/index.php/en/about-us-2/penelope,/index.php/en/about-us-2/penelope,html,200,,Penelope house,controlled crawl,Old house detail page.
https://www.traditional-homes.gr/index.php/en/almond-tree-villas,/index.php/en/almond-tree-villas,html,200,,Almond tree villas,controlled crawl,Old villa category/detail page.
https://www.traditional-homes.gr/index.php/en/apartments,/index.php/en/apartments,html,200,,Elounda apartments,controlled crawl,Old apartments page; no direct new apartments route exists.
https://www.traditional-homes.gr/index.php/en/contact,/index.php/en/contact,html,200,,Contact Us,controlled crawl,Old contact page.
https://www.traditional-homes.gr/index.php/en/elounda,/index.php/en/elounda,html,200,,Elounda - Crete,controlled crawl,Old Elounda/location page.
https://www.traditional-homes.gr/index.php/en/links,/index.php/en/links,html,200,,links,controlled crawl,Old links page; no direct new equivalent.
https://www.traditional-homes.gr/index.php/en/links/2-uncategorised,/index.php/en/links/2-uncategorised,html,200,,Uncategorised,controlled crawl,Old Joomla category page; no direct new equivalent.
https://www.traditional-homes.gr/robots.txt,/robots.txt,text,200,,Joomla robots.txt,manual preflight,Legacy robots file discovered during preflight.
https://www.traditional-homes.gr/sitemap.xml,/sitemap.xml,xml,200,,Old sitemap.xml,manual preflight,Unusable for redirect inventory because it points to boutiquevillaszante.gr URLs rather than traditional-homes.gr URLs.
https://www.traditional-homes.gr/images/web_3c.pdf,/images/web_3c.pdf,pdf,200,,web_3c.pdf,homepage href crawl,Legacy PDF linked from old homepage.
https://www.traditional-homes.gr/modules/mod_hg_newsletter/assets/styles.css,/modules/mod_hg_newsletter/assets/styles.css,css,301,https://www.traditional-homes.gr/index.php/en/modules/mod_hg_newsletter/assets/styles.css,Newsletter module CSS,homepage href crawl,Legacy Joomla asset href; not a page redirect candidate.
https://www.traditional-homes.gr/modules/mod_popupaholic/css/jquery.gafancybox.min.css,/modules/mod_popupaholic/css/jquery.gafancybox.min.css,css,200,,Popup module CSS,homepage href crawl,Legacy Joomla asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/fancybox/jquery.fancybox.css,/templates/boutique/assets/fancybox/jquery.fancybox.css,css,200,,Fancybox CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/font-awesome/css/font-awesome.css,/templates/boutique/assets/font-awesome/css/font-awesome.css,css,200,,Font Awesome CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/imagelightbox/imagelightbox.css,/templates/boutique/assets/imagelightbox/imagelightbox.css,css,200,,Imagelightbox CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/assets/isotope/isotope.css,/templates/boutique/assets/isotope/isotope.css,css,200,,Isotope CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/bootstrap.css,/templates/boutique/styles/boutique/css/bootstrap.css,css,200,,Bootstrap CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/bootstrap-responsive.css,/templates/boutique/styles/boutique/css/bootstrap-responsive.css,css,200,,Bootstrap responsive CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/custom.css,/templates/boutique/styles/boutique/css/custom.css,css,200,,Custom CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/css/template.css,/templates/boutique/styles/boutique/css/template.css,css,200,,Template CSS,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-114-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-114-precomposed.png,image,200,,Apple touch icon 114,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-144-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-144-precomposed.png,image,200,,Apple touch icon 144,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-57-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-57-precomposed.png,image,200,,Apple touch icon 57,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/apple-touch-icon-72-precomposed.png,/templates/boutique/styles/boutique/ico/apple-touch-icon-72-precomposed.png,image,200,,Apple touch icon 72,homepage href crawl,Legacy template asset href; not a page redirect candidate.
https://www.traditional-homes.gr/templates/boutique/styles/boutique/ico/favicon.ico,/templates/boutique/styles/boutique/ico/favicon.ico,image,200,,Favicon,homepage href crawl,Legacy template asset href; not a page redirect candidate.
